order_id,order_date,season,year,uniform_set,product_category,gender_age,size,color,number,quantity,unit_price
3477,9/7/2020,fall,2020,fall,top,mens_youth,AXL,Red,,1,50
3478,9/7/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3479,9/7/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3480,9/7/2020,fall,2020,fall,top,mens_youth,YS,Red,,1,45
3481,9/7/2020,fall,2020,fall,top,womens,AL,Red,,1,50
3482,9/8/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3483,9/8/2020,fall,2020,fall,bottom,mens_youth,YL,,,1,28
3484,9/8/2020,fall,2020,fall,top,mens_youth,AS,Red,,1,50
3485,9/8/2020,fall,2020,fall,bottom,womens,AM,,,1,30
3488,9/8/2020,fall,2020,fall,bottom,mens_youth,YXL,,,1,28
3489,9/8/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3490,9/8/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3491,9/8/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3492,9/8/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3494,9/9/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3495,9/9/2020,fall,2020,fall,socks,mens_youth,AM,,,1,12
3496,9/9/2020,fall,2020,fall,bottom,womens,AS,,,1,30
3497,9/9/2020,fall,2020,fall,top,mens_youth,AS,Red,,1,50
3499,9/9/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3500,9/9/2020,fall,2020,fall,bottom,womens,AM,,,1,30
3503,9/10/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3504,9/10/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3505,9/10/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3506,9/10/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3507,9/10/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3508,9/11/2020,fall,2020,fall,bottom,mens_youth,AM,,,1,30
3510,9/11/2020,fall,2020,fall,top,mens_youth,YXL,Red,,1,45
3511,9/11/2020,fall,2020,fall,top,womens,AS,Royal,,1,50
3512,9/11/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3513,9/11/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3515,9/11/2020,fall,2020,fall,bottom,womens,AS,,,1,30
3516,9/11/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3517,9/11/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3518,9/11/2020,fall,2020,fall,socks,mens_youth,AL,,,1,12
3519,9/12/2020,fall,2020,fall,top,womens,AS,Royal,,1,50
3521,9/12/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3522,9/12/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3523,9/12/2020,fall,2020,fall,top,womens,AS,Black,,1,50
3524,9/13/2020,fall,2020,fall,top,womens,AXL,Royal,,1,50
3525,9/13/2020,fall,2020,fall,bottom,womens,AS,,,1,30
3526,9/13/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3527,9/14/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3528,9/14/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3529,9/14/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3531,9/14/2020,fall,2020,fall,top,mens_youth,AM,Black,,1,50
3532,9/14/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3536,9/14/2020,fall,2020,fall,socks,mens_youth,AS,,,1,12
3538,9/15/2020,fall,2020,fall,top,womens,AM,Royal,,1,50
3539,9/15/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3540,9/15/2020,fall,2020,fall,top,mens_youth,AS,Red,,1,50
3541,9/15/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3542,9/15/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3544,9/15/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3545,9/15/2020,fall,2020,fall,socks,mens_youth,AL,,,1,12
3546,9/15/2020,fall,2020,fall,top,womens,AL,Red,,1,50
3547,9/15/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3548,9/16/2020,fall,2020,fall,top,womens,AM,Royal,,1,50
3550,9/16/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3551,9/16/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3553,9/16/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3554,9/16/2020,fall,2020,fall,top,womens,AL,Red,,1,50
3555,9/16/2020,fall,2020,fall,top,womens,AS,Yellow,,1,50
3556,9/16/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3557,9/16/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3558,9/16/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3560,9/16/2020,fall,2020,fall,top,mens_youth,AS,Red,,1,50
3561,9/17/2020,fall,2020,fall,top,womens,AS,Black,,1,50
3562,9/17/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3563,9/17/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3564,9/17/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3565,9/17/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3566,9/18/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3567,9/18/2020,fall,2020,fall,top,mens_youth,AS,Red,,1,50
3568,9/18/2020,fall,2020,fall,top,mens_youth,AS,Red,,1,50
3569,9/18/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3570,9/18/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3571,9/18/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3572,9/18/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3573,9/18/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3574,9/19/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3575,9/19/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3576,9/19/2020,fall,2020,fall,top,mens_youth,AS,Red,,1,50
3577,9/19/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3578,9/19/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3579,9/19/2020,fall,2020,fall,top,mens_youth,AXL,Red,,1,50
3580,9/19/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3581,9/20/2020,fall,2020,fall,top,mens_youth,AL,Red,,1,50
3582,9/20/2020,fall,2020,fall,top,mens_youth,AL,Red,,1,50
3585,9/20/2020,fall,2020,fall,bottom,mens_youth,YL,,,1,28
3586,9/20/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3588,9/21/2020,fall,2020,fall,top,mens_youth,AXL,Red,,1,50
3590,9/21/2020,fall,2020,fall,top,womens,AM,Black,,1,50
3591,9/21/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3592,9/21/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3593,9/21/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3594,9/21/2020,fall,2020,fall,top,mens_youth,AL,Red,,1,50
3595,9/21/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3596,9/21/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3597,9/21/2020,fall,2020,fall,bottom,womens,AS,,,1,30
3598,9/21/2020,fall,2020,fall,bottom,mens_youth,YL,,,1,28
3600,9/21/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3602,9/22/2020,fall,2020,fall,top,mens_youth,AL,Red,,1,50
3603,9/22/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3604,9/22/2020,fall,2020,fall,bottom,mens_youth,YS,,,1,28
3605,9/22/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3606,9/22/2020,fall,2020,fall,top,womens,AL,Red,,1,50
3607,9/22/2020,fall,2020,fall,socks,mens_youth,AS,,,2,12
3608,9/22/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3609,9/22/2020,fall,2020,fall,top,womens,AL,Red,,1,50
3610,9/22/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3611,9/22/2020,fall,2020,fall,top,womens,AL,Red,,1,50
3612,9/22/2020,fall,2020,fall,top,mens_youth,AS,Red,,1,50
3614,9/23/2020,fall,2020,fall,top,mens_youth,AS,Red,,1,50
3616,9/23/2020,fall,2020,fall,top,mens_youth,AM,Red,,1,50
3617,9/23/2020,fall,2020,fall,bottom,womens,AS,,,1,30
3618,9/23/2020,fall,2020,fall,top,mens_youth,YL,Black,,1,45
3620,9/23/2020,fall,2020,fall,top,mens_youth,YL,Black,,1,45
3621,9/23/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3622,9/23/2020,fall,2020,fall,bottom,mens_youth,YS,,,1,28
3623,9/23/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3624,9/23/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3625,9/23/2020,fall,2020,fall,bottom,womens,AS,,,1,30
3626,9/24/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
3627,9/24/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3628,9/24/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3629,9/24/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3630,9/24/2020,fall,2020,fall,bottom,womens,AM,,,1,30
3631,9/25/2020,fall,2020,fall,top,mens_youth,YL,Red,,1,45
3632,9/25/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3633,9/25/2020,fall,2020,fall,top,womens,AL,Red,,1,50
3636,9/26/2020,fall,2020,fall,top,womens,AS,Red,,1,50
3637,9/26/2020,fall,2020,fall,top,womens,AM,Red,,1,50
3638,9/26/2020,fall,2020,fall,top,mens_youth,YM,Red,,1,45
